"country","rating","name","count_of_rents","amount_made"
"Bolivia","R","Family","1","2.99"
"Morocco","PG-13","Classics","1","2.99"
"Peru","PG","Music","1","8.99"
"Azerbaijan","G","Horror","1","1.99"
"Afghanistan","R","Foreign","1","0.99"
"United States","G","Children","11","42.89"
"Holy See (Vatican City State)","PG-13","Foreign","1","5.99"
"Turkey","R","Family","7","21.93"
"Thailand","PG-13","Games","1","3.99"
"Runion","NC-17","Travel","1","4.99"
"South Africa","G","Classics","6","16.94"
"Thailand","G","Drama","1","5.98"
"Austria","PG-13","Family","3","6.97"
"Brazil","PG","Children","7","15.93"
"United Arab Emirates","PG","Sports","1","6.99"
"Canada","NC-17","Sci-Fi","3","15.97"
"Dominican Republic","NC-17","Foreign","2","8.98"
"Russian Federation","PG-13","Drama","8","29.92"
"Brazil","R","Sports","10","36.90"
"United Arab Emirates","PG-13","Children","1","2.99"
"Brazil","R","Sci-Fi","19","83.81"
"Ecuador","PG-13","New","3","20.97"
"Kazakstan","NC-17","Foreign","1","5.99"
"Japan","PG-13","Animation","25","111.75"
"Tanzania","NC-17","Documentary","1","2.99"
"Yemen","R","Horror","1","4.99"
"Azerbaijan","R","Children","1","0.99"
"Turkey","NC-17","Games","2","7.98"
"North Korea","PG-13","Sports","1","4.99"
"Yugoslavia","NC-17","Animation","1","4.99"
"Saudi Arabia","R","Documentary","1","2.99"
"Belarus","G","Documentary","1","7.99"
"North Korea","G","Action","1","0.99"
"Pakistan","PG-13","Sci-Fi","1","2.99"
"Canada","PG-13","Travel","2","10.98"
"Senegal","NC-17","Action","1","2.99"
"Iran","PG","Sports","3","7.97"
"Yemen","NC-17","Sports","2","9.98"
"Taiwan","PG-13","Travel","2","9.98"
"Moldova","NC-17","New","1","0.99"
"Finland","G","Games","1","2.99"
"Kuwait","R","Sports","1","7.99"
"South Africa","PG","Documentary","2","11.98"
"Chile","PG-13","New","1","4.99"
"Italy","PG-13","Documentary","2","9.98"
"Algeria","PG","Sports","3","6.97"
"Turkey","NC-17","New","2","10.98"
"French Guiana","R","Horror","1","7.99"
"Switzerland","R","Sports","1","0.99"
"Congo, The Democratic Republic of the","NC-17","Horror","1","0.99"
"Japan","PG-13","Sci-Fi","18","97.82"
"Vietnam","PG","Sports","3","14.97"
"Kenya","PG","Children","2","6.98"
"Mozambique","R","Sports","1","4.99"
"Chad","PG-13","Games","1","4.99"
"Myanmar","PG","Family","2","7.98"
"Sri Lanka","NC-17","Family","1","4.99"
"Morocco","G","Sports","1","6.99"
"China","G","Sci-Fi","13","47.87"
"Peru","NC-17","Family","1","2.99"
"Mozambique","NC-17","Games","2","6.98"
"Russian Federation","NC-17","Travel","8","33.92"
"Egypt","PG-13","Classics","1","4.99"
"Iraq","PG-13","Foreign","1","9.99"
"Tanzania","R","Family","1","0.99"
"Japan","R","Travel","12","52.88"
"Czech Republic","PG-13","Music","1","1.99"
"Russian Federation","G","Horror","8","28.92"
"Argentina","NC-17","New","6","31.93"
"New Zealand","NC-17","Horror","1","1.99"
"Chile","PG-13","Foreign","2","3.98"
"Czech Republic","PG","Horror","1","4.99"
"Indonesia","PG","Horror","4","18.96"
"Spain","NC-17","Travel","1","4.99"
"Canada","PG-13","Family","3","8.97"
"Myanmar","PG-13","Sports","1","4.99"
"Bulgaria","PG","Sci-Fi","3","12.97"
"Yugoslavia","PG","Music","1","0.99"
"Sweden","PG","Drama","1","2.99"
"Nigeria","NC-17","Action","1","8.99"
"Japan","PG","Sports","15","54.86"
"India","PG","Comedy","21","86.79"
"United Kingdom","PG-13","Foreign","4","14.96"
"Latvia","PG","Drama","1","4.99"
"United States","R","Music","10","49.90"
"North Korea","NC-17","Children","2","11.98"
"United States","R","Animation","8","30.92"
"Thailand","PG","Sci-Fi","1","4.99"
"Yugoslavia","R","Children","1","0.99"
"Vietnam","G","Classics","3","10.97"
"Canada","G","Family","1","0.99"
"Ecuador","R","Documentary","2","9.98"
"Brazil","R","Comedy","4","20.96"
"Peru","G","Horror","1","4.99"
"Taiwan","PG","Travel","5","17.96"
"Belarus","PG-13","Animation","1","6.99"
"Chile","NC-17","Drama","2","9.98"
"Tuvalu","NC-17","Sci-Fi","1","4.99"
"China","PG","Drama","14","48.86"
"Ecuador","NC-17","Drama","2","13.98"
"Peru","PG","Horror","1","0.99"
"India","NC-17","Sci-Fi","15","55.85"
"Italy","PG","Sports","2","10.98"
"Azerbaijan","G","Sci-Fi","2","11.98"
"Netherlands","NC-17","New","2","11.98"
"France","NC-17","Comedy","1","4.99"
"China","R","Sports","18","87.82"
"Chile","NC-17","Foreign","1","4.99"
"Argentina","G","Classics","5","21.95"
"Saudi Arabia","R","Sports","2","5.98"
"Germany","PG","New","2","15.98"
"Senegal","PG","Foreign","1","3.99"
"Venezuela","NC-17","Children","1","4.99"
"Taiwan","R","Games","5","17.95"
"French Guiana","NC-17","Documentary","1","2.99"
"Brazil","PG-13","Horror","13","63.87"
"Taiwan","G","Animation","3","15.97"
"Switzerland","PG-13","Travel","1","4.99"
"Cameroon","NC-17","Sports","1","5.99"
"Israel","PG","Sports","1","6.99"
"Thailand","NC-17","Family","2","1.98"
"Chile","PG","Animation","1","2.99"
"Chad","NC-17","Foreign","1","2.99"
"Oman","NC-17","New","2","9.98"
"Argentina","PG-13","Travel","3","9.97"
"Spain","NC-17","Sports","3","10.97"
"Dominican Republic","NC-17","Games","1","1.99"
"Mexico","PG-13","Family","10","26.90"
"Poland","R","Foreign","5","21.95"
"Iran","R","Games","4","20.96"
"Greenland","NC-17","Family","1","5.99"
"Sri Lanka","R","Sports","1","4.99"
"India","PG-13","Horror","21","80.79"
"Iran","NC-17","Children","5","15.95"
"Brazil","NC-17","Animation","14","54.86"
"Mexico","NC-17","Games","10","38.90"
"France","PG-13","Documentary","1","4.99"
"Senegal","NC-17","Family","1","8.99"
"Slovakia","PG","Travel","2","6.98"
"Yemen","G","Comedy","1","4.99"
"Iraq","NC-17","Foreign","1","2.99"
"Taiwan","PG","Classics","5","14.95"
"South Korea","PG","Family","5","17.95"
"France","PG-13","Animation","3","20.97"
"Ukraine","G","Horror","2","14.98"
"Russian Federation","PG-13","Travel","5","13.95"
"Israel","PG","Action","1","2.99"
"Austria","NC-17","Sports","1","5.99"
"Faroe Islands","G","Comedy","1","2.99"
"Runion","PG-13","Games","1","8.99"
"Ukraine","R","Games","1","7.99"
"Turkey","PG","New","3","13.97"
"Peru","NC-17","Sports","2","6.98"
"Sudan","NC-17","Drama","1","4.99"
"Cambodia","PG-13","Sci-Fi","1","3.99"
"France","NC-17","Sports","2","4.98"
"Turkey","NC-17","Drama","7","33.93"
"Bangladesh","PG","Documentary","4","18.96"
"Hungary","PG","New","1","5.99"
"Israel","PG-13","New","1","2.99"
"Turkey","NC-17","Travel","5","21.95"
"Philippines","NC-17","Games","12","49.88"
"Sweden","PG-13","Family","1","2.99"
"Virgin Islands, U.S.","G","Horror","1","7.99"
"Philippines","PG-13","Travel","13","61.87"
"Ecuador","NC-17","Animation","4","14.96"
"Ecuador","NC-17","Family","2","8.98"
"Germany","R","Sci-Fi","4","9.96"
"Gambia","NC-17","Action","2","4.98"
"Bolivia","G","Sports","1","4.99"
"Italy","G","Games","2","3.98"
"Oman","PG","Children","2","3.98"
"Senegal","NC-17","Music","1","4.99"
"Pakistan","NC-17","Children","1","2.99"
"Paraguay","NC-17","Comedy","3","15.97"
"Yemen","R","Action","3","7.97"
"Sudan","R","Drama","1","0.99"
"Armenia","PG-13","Family","2","11.98"
"Brunei","R","Sports","1","4.99"
"Paraguay","R","Horror","3","12.97"
"Japan","G","Music","1","0.99"
"Canada","G","Thriller","1","4.99"
"Ethiopia","NC-17","Family","2","9.98"
"Italy","NC-17","Action","1","0.99"
"Yugoslavia","G","Sci-Fi","1","2.99"
"Japan","G","Family","4","15.96"
"South Korea","R","Horror","1","4.99"
"Puerto Rico","NC-17","Sports","1","3.99"
"Mexico","PG-13","Comedy","9","42.91"
"United States","NC-17","Foreign","13","65.87"
"United Kingdom","G","Animation","3","8.97"
"Italy","NC-17","New","2","2.98"
"Argentina","PG","Comedy","5","14.95"
"United Kingdom","PG-13","New","2","11.98"
"Colombia","PG","Games","1","7.99"
"Finland","G","Travel","1","2.99"
"United Kingdom","PG","Games","3","19.97"
"United Arab Emirates","PG-13","Documentary","1","4.99"
"Israel","NC-17","Classics","1","4.99"
"India","PG-13","Sports","17","72.83"
"Nigeria","G","Sports","2","11.98"
"Madagascar","NC-17","Sports","2","6.98"
"Bangladesh","R","New","1","7.99"
"Egypt","R","Travel","2","7.98"
"Russian Federation","G","Comedy","9","41.91"
"Malawi","PG","Children","1","0.99"
"France","PG-13","Comedy","1","4.99"
"Russian Federation","PG","Documentary","14","41.86"
"Austria","NC-17","Games","1","3.99"
"Yemen","G","Documentary","1","5.99"
"Japan","G","Classics","9","26.91"
"Poland","PG-13","Sci-Fi","6","24.94"
"Netherlands","PG","Sports","2","14.98"
"Canada","PG","Comedy","4","23.96"
"Colombia","NC-17","Action","3","16.97"
"Philippines","G","Foreign","7","24.93"
"Austria","PG-13","Travel","1","0.99"
"Egypt","PG","Children","1","3.99"
"Pakistan","R","Horror","1","0.99"
"Turkmenistan","R","Family","1","3.99"
"Tuvalu","NC-17","Children","1","3.99"
"Tunisia","PG-13","Drama","1","2.99"
"Iran","G","Drama","3","23.97"
"China","NC-17","Sports","12","50.88"
"Canada","PG","Family","4","3.96"
"Czech Republic","PG","Games","1","9.99"
"Kenya","NC-17","Music","2","13.98"
"Canada","NC-17","Drama","4","21.96"
"Czech Republic","NC-17","Sports","1","4.99"
"Ethiopia","R","Documentary","1","7.99"
"Chile","NC-17","Travel","1","3.99"
"Estonia","NC-17","Sci-Fi","2","10.98"
"Sweden","NC-17","Games","1","6.99"
"Belarus","G","Action","3","9.97"
"Mexico","PG","Drama","5","16.95"
"Spain","G","Classics","1","0.99"
"Philippines","G","Horror","2","10.98"
"United Kingdom","PG","Foreign","1","0.99"
"French Polynesia","NC-17","Games","1","6.99"
"Indonesia","PG","Foreign","6","19.94"
"Colombia","R","Animation","1","2.99"
"South Africa","G","New","3","16.97"
"Iran","G","Animation","5","17.95"
"Algeria","R","Documentary","2","9.98"
"South Korea","G","Drama","3","8.97"
"Puerto Rico","NC-17","New","1","3.99"
"Turkey","G","Music","2","4.98"
"Algeria","PG-13","Children","2","11.98"
"United States","PG-13","Classics","10","42.90"
"Hungary","PG","Children","1","0.99"
"Czech Republic","G","Foreign","2","9.98"
"Saint Vincent and the Grenadines","PG-13","Drama","1","4.99"
"Venezuela","PG","Family","5","13.95"
"Anguilla","PG-13","Travel","2","5.98"
"Switzerland","PG-13","Games","1","0.99"
"Bolivia","PG-13","Animation","1","2.99"
"Saudi Arabia","R","Travel","1","2.99"
"French Polynesia","PG","Children","1","4.99"
"Sri Lanka","PG","Documentary","1","2.99"
"Greece","NC-17","Music","1","3.99"
"Indonesia","NC-17","New","7","28.93"
"Ukraine","PG-13","Foreign","1","4.99"
"Germany","R","Classics","2","8.98"
"Tanzania","PG","Sports","1","2.99"
"Runion","PG","Comedy","1","4.99"
"Canada","R","Sci-Fi","3","11.97"
"Iran","NC-17","Animation","1","2.99"
"Runion","PG-13","Sci-Fi","2","4.98"
"Vietnam","R","Animation","1","0.99"
"Saint Vincent and the Grenadines","NC-17","Action","1","2.99"
"Ecuador","R","Horror","2","7.98"
"South Africa","PG","Foreign","3","9.97"
"Saudi Arabia","R","Comedy","2","13.98"
"Ecuador","PG-13","Animation","2","11.98"
"Italy","PG","Music","1","2.99"
"Poland","PG-13","Documentary","2","9.98"
"Iran","NC-17","Comedy","6","35.94"
"Mexico","PG-13","Classics","14","64.86"
"Netherlands","NC-17","Animation","1","0.99"
"Hungary","PG","Sci-Fi","1","2.99"
"Israel","PG-13","Drama","1","0.99"
"Kazakstan","PG","Family","1","4.99"
"Nigeria","R","Drama","1","2.99"
"Indonesia","R","Action","9","31.91"
"Ukraine","R","Animation","1","8.99"
"Brazil","PG-13","Drama","12","25.88"
"Taiwan","R","Music","2","7.98"
"Philippines","G","Sports","5","15.95"
"Colombia","R","Horror","3","16.97"
"Ukraine","PG-13","Sci-Fi","3","14.97"
"Germany","PG","Sci-Fi","1","5.99"
"Malawi","R","Children","1","2.99"
"Philippines","PG-13","Documentary","5","17.95"
"Runion","G","Classics","1","2.99"
"Finland","PG-13","New","1","3.99"
"Azerbaijan","PG-13","Horror","1","4.99"
"Angola","G","New","2","10.98"
"South Korea","G","Sci-Fi","3","7.97"
"Brunei","PG-13","Children","2","5.98"
"China","PG-13","Sci-Fi","14","54.86"
"India","R","Documentary","23","96.77"
"Netherlands","PG-13","Horror","2","9.98"
"Argentina","PG","Games","2","5.98"
"Bahrain","G","Family","1","5.99"
"Finland","PG-13","Family","1","2.99"
"Japan","G","Foreign","5","16.95"
"Mexico","R","Horror","9","57.91"
"Italy","PG-13","Music","1","3.99"
"Venezuela","PG-13","Music","2","8.98"
"Bulgaria","NC-17","Action","1","0.99"
"Romania","PG","Foreign","1","0.99"
"Chile","G","Travel","1","7.99"
"Colombia","PG","Animation","5","27.95"
"Tanzania","NC-17","Children","1","1.99"
"Yemen","NC-17","Action","3","10.97"
"Thailand","PG-13","Children","1","2.99"
"Thailand","PG","Documentary","1","6.99"
"India","PG-13","Family","21","75.79"
"Japan","PG","Sci-Fi","14","49.86"
"Israel","PG","Documentary","3","6.97"
"Colombia","R","Music","2","9.98"
"Indonesia","NC-17","Travel","3","12.97"
"South Africa","R","Sports","7","35.93"
"Cambodia","PG","Action","1","4.99"
"United Arab Emirates","R","Children","2","6.98"
"Malaysia","NC-17","Family","1","3.99"
"Ecuador","PG-13","Sports","2","6.98"
"Puerto Rico","PG","Children","1","4.99"
"Zambia","NC-17","Documentary","2","9.98"
"Greenland","PG","Sports","1","0.99"
"Saudi Arabia","PG-13","Action","1","5.99"
"Tuvalu","PG-13","Comedy","1","2.99"
"South Africa","R","Documentary","6","15.94"
"Nepal","NC-17","Sci-Fi","1","6.99"
"Argentina","PG-13","New","3","10.97"
"Zambia","PG","Sports","1","4.99"
"Taiwan","NC-17","Foreign","2","5.98"
"Saudi Arabia","PG-13","Drama","1","4.99"
"Runion","R","Sci-Fi","2","8.98"
"Bangladesh","PG","Sports","2","7.98"
"China","G","Travel","6","38.94"
